finding_id,case_id,scanner_name,package_name,package_version,ecosystem,package_manager,vulnerability_id,cve_id,ghsa_id,osv_id,severity,cvss_score,fixed_version,advisory_url,dependency_scope,direct_or_transitive,source_file,raw_reference,scanner_confidence,normalization_notes
6da7dcb28d93ec354a24,case_007,npm_audit,lodash,4.17.20,npm,npm,1106913,,GHSA-35JH-R3H4-6JHM,1106913,high,7.2,4.18.1,https://github.com/advisories/GHSA-35jh-r3h4-6jhm,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_007.json,unknown,npm audit scanner result
45443f83d7ffae16b2d5,case_007,npm_audit,lodash,4.17.20,npm,npm,1108258,,GHSA-29MW-WPGM-HMR9,1108258,moderate,5.3,4.18.1,https://github.com/advisories/GHSA-29mw-wpgm-hmr9,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_007.json,unknown,npm audit scanner result
986bbcaa99630768b294,case_007,npm_audit,lodash,4.17.20,npm,npm,1112455,,GHSA-XXJR-MMJV-4GPG,1112455,moderate,6.5,4.18.1,https://github.com/advisories/GHSA-xxjr-mmjv-4gpg,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_007.json,unknown,npm audit scanner result
9a73980d7096056ad7a1,case_007,npm_audit,lodash,4.17.20,npm,npm,1115806,,GHSA-R5FR-RJXR-66JC,1115806,high,8.1,4.18.1,https://github.com/advisories/GHSA-r5fr-rjxr-66jc,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_007.json,unknown,npm audit scanner result
ea5036e04bae5a560aa8,case_007,npm_audit,lodash,4.17.20,npm,npm,1115810,,GHSA-F23M-R3PF-42RH,1115810,moderate,6.5,4.18.1,https://github.com/advisories/GHSA-f23m-r3pf-42rh,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_007.json,unknown,npm audit scanner result
1f880d6c783127da34b0,case_008,pip_audit,pyyaml,5.3.1,pypi,pip,PYSEC-2021-142,CVE-2020-14343,GHSA-8Q59-Q68H-6HV4,PYSEC-2021-142,,,5.4,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_008.json,unknown,pip-audit scanner result; deduplicated_from_2_scanner_records
deaa31846cc0fd8ceb82,case_009,npm_audit,minimist,0.0.8,npm,npm,1096466,,GHSA-VH95-RMGR-6W4M,1096466,moderate,5.6,1.2.8,https://github.com/advisories/GHSA-vh95-rmgr-6w4m,runtime,direct,node_modules/minimist,artifacts\scanner_raw\npm_audit\case_009.json,unknown,npm audit scanner result
7f6efbcbe5410d408401,case_009,npm_audit,minimist,0.0.8,npm,npm,1097677,,GHSA-XVCH-5GV4-984H,1097677,critical,9.8,1.2.8,https://github.com/advisories/GHSA-xvch-5gv4-984h,runtime,direct,node_modules/minimist,artifacts\scanner_raw\npm_audit\case_009.json,unknown,npm audit scanner result
ea78a180a9ae06551f9e,case_010,pip_audit,requests,2.19.1,pypi,pip,CVE-2024-35195,CVE-2024-35195,GHSA-9WX4-H78V-VM56,,,,2.32.0,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_010.json,unknown,pip-audit scanner result
c9e3889ac45e265041cf,case_010,pip_audit,requests,2.19.1,pypi,pip,CVE-2024-47081,CVE-2024-47081,GHSA-9HJG-9R4M-MVJ7,,,,2.32.4,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_010.json,unknown,pip-audit scanner result
02f460ad7b9398cf21c0,case_010,pip_audit,requests,2.19.1,pypi,pip,CVE-2026-25645,CVE-2026-25645,GHSA-GC5V-M9X4-R6X2,,,,2.33.0,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_010.json,unknown,pip-audit scanner result
ee6ddc365d25f5b412e0,case_010,pip_audit,requests,2.19.1,pypi,pip,PYSEC-2018-28,CVE-2018-18074,GHSA-X84V-XCM2-53PG,PYSEC-2018-28,,,2.20.0,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_010.json,unknown,pip-audit scanner result
48cb1a8aa7ff85d04b24,case_010,pip_audit,requests,2.19.1,pypi,pip,PYSEC-2023-74,CVE-2023-32681,GHSA-J8R2-6X86-Q33Q,PYSEC-2023-74,,,2.31.0,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_010.json,unknown,pip-audit scanner result; deduplicated_from_2_scanner_records
ca2f712989ff7d36fc34,case_011,npm_audit,minimist,0.0.8,npm,npm,1096466,,GHSA-VH95-RMGR-6W4M,1096466,moderate,5.6,1.2.8,https://github.com/advisories/GHSA-vh95-rmgr-6w4m,runtime,direct,node_modules/minimist,artifacts\scanner_raw\npm_audit\case_011.json,unknown,npm audit scanner result
4421cb015d6251153ad2,case_011,npm_audit,minimist,0.0.8,npm,npm,1097677,,GHSA-XVCH-5GV4-984H,1097677,critical,9.8,1.2.8,https://github.com/advisories/GHSA-xvch-5gv4-984h,runtime,direct,node_modules/minimist,artifacts\scanner_raw\npm_audit\case_011.json,unknown,npm audit scanner result
3c9c2a79670f826dde78,case_012,pip_audit,requests,2.19.1,pypi,pip,CVE-2024-35195,CVE-2024-35195,GHSA-9WX4-H78V-VM56,,,,2.32.0,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_012.json,unknown,pip-audit scanner result
893142c3023bb0a20789,case_012,pip_audit,requests,2.19.1,pypi,pip,CVE-2024-47081,CVE-2024-47081,GHSA-9HJG-9R4M-MVJ7,,,,2.32.4,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_012.json,unknown,pip-audit scanner result
923d94770a3d40ceaea0,case_012,pip_audit,requests,2.19.1,pypi,pip,CVE-2026-25645,CVE-2026-25645,GHSA-GC5V-M9X4-R6X2,,,,2.33.0,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_012.json,unknown,pip-audit scanner result
bc49a54214d1635ea1d0,case_012,pip_audit,requests,2.19.1,pypi,pip,PYSEC-2018-28,CVE-2018-18074,GHSA-X84V-XCM2-53PG,PYSEC-2018-28,,,2.20.0,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_012.json,unknown,pip-audit scanner result
00038eb9bb0dfb81077c,case_012,pip_audit,requests,2.19.1,pypi,pip,PYSEC-2023-74,CVE-2023-32681,GHSA-J8R2-6X86-Q33Q,PYSEC-2023-74,,,2.31.0,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_012.json,unknown,pip-audit scanner result; deduplicated_from_2_scanner_records
d9c7b061cadd3fac5c62,case_013,npm_audit,minimist,0.0.8,npm,npm,1096466,,GHSA-VH95-RMGR-6W4M,1096466,moderate,5.6,1.2.8,https://github.com/advisories/GHSA-vh95-rmgr-6w4m,runtime,direct,node_modules/minimist,artifacts\scanner_raw\npm_audit\case_013.json,unknown,npm audit scanner result
584b446fe1529ff19370,case_013,npm_audit,minimist,0.0.8,npm,npm,1097677,,GHSA-XVCH-5GV4-984H,1097677,critical,9.8,1.2.8,https://github.com/advisories/GHSA-xvch-5gv4-984h,runtime,direct,node_modules/minimist,artifacts\scanner_raw\npm_audit\case_013.json,unknown,npm audit scanner result
a37de33001c8d81cf663,case_014,pip_audit,requests,2.19.1,pypi,pip,CVE-2024-35195,CVE-2024-35195,GHSA-9WX4-H78V-VM56,,,,2.32.0,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_014.json,unknown,pip-audit scanner result
9cab54d3f556818f27eb,case_014,pip_audit,requests,2.19.1,pypi,pip,CVE-2024-47081,CVE-2024-47081,GHSA-9HJG-9R4M-MVJ7,,,,2.32.4,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_014.json,unknown,pip-audit scanner result
b177d747a14b673082d5,case_014,pip_audit,requests,2.19.1,pypi,pip,CVE-2026-25645,CVE-2026-25645,GHSA-GC5V-M9X4-R6X2,,,,2.33.0,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_014.json,unknown,pip-audit scanner result
1f33321a533d386526a2,case_014,pip_audit,requests,2.19.1,pypi,pip,PYSEC-2018-28,CVE-2018-18074,GHSA-X84V-XCM2-53PG,PYSEC-2018-28,,,2.20.0,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_014.json,unknown,pip-audit scanner result
292e3780817eb8d3a4cf,case_014,pip_audit,requests,2.19.1,pypi,pip,PYSEC-2023-74,CVE-2023-32681,GHSA-J8R2-6X86-Q33Q,PYSEC-2023-74,,,2.31.0,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_014.json,unknown,pip-audit scanner result; deduplicated_from_2_scanner_records
a65401f422ae11934e1e,case_015,npm_audit,minimist,0.0.8,npm,npm,1096466,,GHSA-VH95-RMGR-6W4M,1096466,moderate,5.6,1.2.8,https://github.com/advisories/GHSA-vh95-rmgr-6w4m,runtime,direct,node_modules/minimist,artifacts\scanner_raw\npm_audit\case_015.json,unknown,npm audit scanner result
b1bcb72b55d2ab97efc6,case_015,npm_audit,minimist,0.0.8,npm,npm,1097677,,GHSA-XVCH-5GV4-984H,1097677,critical,9.8,1.2.8,https://github.com/advisories/GHSA-xvch-5gv4-984h,runtime,direct,node_modules/minimist,artifacts\scanner_raw\npm_audit\case_015.json,unknown,npm audit scanner result
a2d49b613b907cc60c90,case_016,pip_audit,requests,2.19.1,pypi,pip,CVE-2024-35195,CVE-2024-35195,GHSA-9WX4-H78V-VM56,,,,2.32.0,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_016.json,unknown,pip-audit scanner result
7e66676936963cf5a71e,case_016,pip_audit,requests,2.19.1,pypi,pip,CVE-2024-47081,CVE-2024-47081,GHSA-9HJG-9R4M-MVJ7,,,,2.32.4,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_016.json,unknown,pip-audit scanner result
6aac5c36f3b213a1bed9,case_016,pip_audit,requests,2.19.1,pypi,pip,CVE-2026-25645,CVE-2026-25645,GHSA-GC5V-M9X4-R6X2,,,,2.33.0,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_016.json,unknown,pip-audit scanner result
c394b1b77c7587c9f2de,case_016,pip_audit,requests,2.19.1,pypi,pip,PYSEC-2018-28,CVE-2018-18074,GHSA-X84V-XCM2-53PG,PYSEC-2018-28,,,2.20.0,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_016.json,unknown,pip-audit scanner result
e908a676abf6caee7fee,case_016,pip_audit,requests,2.19.1,pypi,pip,PYSEC-2023-74,CVE-2023-32681,GHSA-J8R2-6X86-Q33Q,PYSEC-2023-74,,,2.31.0,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_016.json,unknown,pip-audit scanner result; deduplicated_from_2_scanner_records
5b76eaab3610a8af058c,case_017,npm_audit,express,4.16.0,npm,npm,1100530,,GHSA-QW6H-VGH9-J6WX,1100530,low,5.0,4.22.1,https://github.com/advisories/GHSA-qw6h-vgh9-j6wx,runtime,direct,node_modules/express,artifacts\scanner_raw\npm_audit\case_017.json,unknown,npm audit scanner result
e08705857748d60ba734,case_017,npm_audit,express,4.16.0,npm,npm,1111636,,GHSA-RV95-896H-C2VC,1111636,moderate,6.1,4.22.1,https://github.com/advisories/GHSA-rv95-896h-c2vc,runtime,direct,node_modules/express,artifacts\scanner_raw\npm_audit\case_017.json,unknown,npm audit scanner result
6fcd0bdc3d7c7a31e762,case_017,npm_audit,qs,6.5.1,npm,npm,1104118,,GHSA-HRPP-H998-J3PP,1104118,high,7.5,4.22.1,https://github.com/advisories/GHSA-hrpp-h998-j3pp,transitive,transitive,node_modules/qs,artifacts\scanner_raw\npm_audit\case_017.json,unknown,npm audit scanner result
05792c8dfd3351fb7286,case_017,npm_audit,qs,6.5.1,npm,npm,1113719,,GHSA-6RW7-VPXM-498P,1113719,moderate,3.7,4.22.1,https://github.com/advisories/GHSA-6rw7-vpxm-498p,transitive,transitive,node_modules/qs,artifacts\scanner_raw\npm_audit\case_017.json,unknown,npm audit scanner result
7bebf237fbfc461c4f5d,case_018,pip_audit,flask,0.12.2,pypi,pip,CVE-2026-27205,CVE-2026-27205,GHSA-68RP-WP8R-4726,,,,3.1.3,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_018.json,unknown,pip-audit scanner result
db90da56d22d2276688b,case_018,pip_audit,flask,0.12.2,pypi,pip,PYSEC-2018-66,CVE-2018-1000656,GHSA-562C-5R94-XH97,PYSEC-2018-66,,,0.12.3,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_018.json,unknown,pip-audit scanner result
57dd608e3d1af78c40ac,case_018,pip_audit,flask,0.12.2,pypi,pip,PYSEC-2019-179,CVE-2019-1010083,GHSA-5WV5-4VPF-PJ6M,PYSEC-2019-179,,,1.0,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_018.json,unknown,pip-audit scanner result
8f5ac911b6bf592dd32e,case_018,pip_audit,flask,0.12.2,pypi,pip,PYSEC-2023-62,CVE-2023-30861,GHSA-M2QF-HXJV-5GPQ,PYSEC-2023-62,,,2.2.5,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_018.json,unknown,pip-audit scanner result
bc3bf75fb5a7259c12c2,case_018,pip_audit,jinja2,2.10,pypi,pip,CVE-2024-22195,CVE-2024-22195,GHSA-H5C8-RQWP-CP95,,,,3.1.3,,transitive,transitive,requirements.lock,artifacts\scanner_raw\pip_audit\case_018.json,unknown,pip-audit scanner result
789160f56279bbd9a5a1,case_018,pip_audit,jinja2,2.10,pypi,pip,CVE-2024-34064,CVE-2024-34064,GHSA-H75V-3VVJ-5MFJ,,,,3.1.4,,transitive,transitive,requirements.lock,artifacts\scanner_raw\pip_audit\case_018.json,unknown,pip-audit scanner result
3ded2f5cac813afee8a5,case_018,pip_audit,jinja2,2.10,pypi,pip,CVE-2024-56326,CVE-2024-56326,GHSA-Q2X7-8RV6-6Q7H,,,,3.1.5,,transitive,transitive,requirements.lock,artifacts\scanner_raw\pip_audit\case_018.json,unknown,pip-audit scanner result
200fcc381fd02460d766,case_018,pip_audit,jinja2,2.10,pypi,pip,CVE-2025-27516,CVE-2025-27516,GHSA-CPWX-VRP4-4PQ7,,,,3.1.6,,transitive,transitive,requirements.lock,artifacts\scanner_raw\pip_audit\case_018.json,unknown,pip-audit scanner result
edade59c3034ed4a4b87,case_018,pip_audit,jinja2,2.10,pypi,pip,PYSEC-2019-217,CVE-2019-10906,GHSA-462W-V97R-4M45,PYSEC-2019-217,,,2.10.1,,transitive,transitive,requirements.lock,artifacts\scanner_raw\pip_audit\case_018.json,unknown,pip-audit scanner result
